group_label,sv_count,top_pairs,top_genes,bg_genes,go_background_mode,go_universe_gene_count,go_bp_terms,go_mf_terms,go_cc_terms,go_total
aneurysm osteoarthritis syndrome,6,0,0,12894,default_universe,,0,0,0,0
aortic aneurysm,11,9,9,12894,default_universe,,0,0,0,0
aortic aneurysm and dissection,69,35,26,12894,default_universe,,4,3,1,8
aortic aneurysm syndrome,21,4,2,12894,default_universe,,0,0,0,0
aortic disease,9,6,5,12894,default_universe,,0,0,0,0
aortic dissection,7,1,1,12894,default_universe,,0,0,0,0
aortic regurgitation,2,0,0,12894,default_universe,,0,0,0,0
aortic stenosis,3,0,0,12894,default_universe,,0,0,0,0
aortic valve disease,8,10,10,12894,default_universe,,0,0,0,0
arrhythmogenic cardiomyopathy,5,2,1,12894,default_universe,,0,0,0,0
arrhythmogenic right ventricular cardiomyopathy,1,0,0,12894,default_universe,,0,0,0,0
arrhythmogenic right ventricular dysplasia,40,36,19,12894,default_universe,,0,0,0,0
arterial dissection,4,2,2,12894,default_universe,,0,0,0,0
atrial fibrillation,23,49,21,12894,default_universe,,0,0,0,0
atrial myxoma,2,0,0,12894,default_universe,,0,0,0,0
atrial septal defect,4,5,5,12894,default_universe,,0,0,0,0
atrioventricular block,1,0,0,12894,default_universe,,0,0,0,0
atrioventricular septal defect,3,10,7,12894,default_universe,,0,0,0,0
brugada syndrome,11,4,2,12894,default_universe,,0,0,0,0
cardiac and endocrine syndrome,11,49,24,12894,default_universe,,0,0,0,0
cardiac arrest,5,50,15,12894,default_universe,,0,0,0,0
cardiac arrhythmia,67,276,58,12894,default_universe,,0,0,0,0
cardiac channelopathy,5,4,2,12894,default_universe,,0,0,0,0
cardiac conduction disease,3,6,2,12894,default_universe,,0,0,0,0
cardiac conduction disorder,15,11,4,12894,default_universe,,0,0,0,0
cardiac hypertrophy,1,14,14,12894,default_universe,,0,0,0,0
cardiac rhabdomyoma,1,16,16,12894,default_universe,,0,0,0,0
cardiofaciocutaneous syndrome,2,0,0,12894,default_universe,,0,0,0,0
cardiomyopathy,81,444,115,12894,default_universe,,0,0,2,2
cardiovascular disease,5,8,8,12894,default_universe,,0,0,0,0
cardiovascular malformation,3,3,3,12894,default_universe,,0,0,0,0
catecholaminergic polymorphic ventricular tachycardia,15,50,21,12894,default_universe,,0,0,0,0
cerebellar ataxia with cardiac conduction defects,1,11,11,12894,default_universe,,0,0,0,0
cervical artery dissection,1,0,0,12894,default_universe,,0,0,0,0
congenital heart defect,4,8,6,12894,default_universe,,0,0,0,0
congenital heart defects,2,8,8,12894,default_universe,,0,0,0,0
congenital heart disease,10,20,20,12894,default_universe,,0,0,0,0
congenital heart malformation,1,0,0,12894,default_universe,,0,0,0,0
congestive heart failure,1,5,5,12894,default_universe,,0,0,0,0
dilated cardiomyopathy,77,569,96,12894,default_universe,,0,0,0,0
dilated cardiomyopathy and hypergonadotropic hypogonadism,1,5,5,12894,default_universe,,0,0,0,0
heart block,10,40,17,12894,default_universe,,0,0,0,0
heart hand syndrome,11,49,24,12894,default_universe,,0,0,0,0
hypertension,3,127,76,12894,default_universe,,0,0,0,0
hypertrophic cardiomyopathy,64,515,93,12894,default_universe,,0,0,0,0
left ventricular noncompaction,18,124,19,12894,default_universe,,0,0,0,0
long qt syndrome,33,118,14,12894,default_universe,,0,0,0,0
mitochondrial hypertrophic cardiomyopathy,2,0,0,12894,default_universe,,0,0,0,0
myocarditis,3,15,15,12894,default_universe,,0,0,0,0
pulmonary arterial hypertension,25,176,104,12894,default_universe,,6,4,2,12
pulmonary hypertension,37,282,116,12894,default_universe,,6,4,2,12
pulmonary valve stenosis,3,4,2,12894,default_universe,,0,0,0,0
restrictive cardiomyopathy,3,7,6,12894,default_universe,,0,0,0,0
short qt syndrome,22,30,12,12894,default_universe,,0,0,0,0
sudden cardiac arrest,2,0,0,12894,default_universe,,0,0,0,0
sudden cardiac death,4,0,0,12894,default_universe,,0,0,0,0
thoracic aortic aneurysm,30,6,4,12894,default_universe,,0,0,0,0
valvular heart disease,6,10,10,12894,default_universe,,0,0,0,0
ventricular arrhythmia,4,5,4,12894,default_universe,,0,0,0,0
ventricular fibrillation,10,14,4,12894,default_universe,,0,0,0,0
ventricular septal defect,4,31,29,12894,default_universe,,8,0,0,8
