ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology,group_label
GO:0008380,RNA splicing,4/30,490/18860,0.00816326530612245,5.13197278911565,3.69909693612487,0.00722052618790078,0.282157684027447,0.247736979203209,LSM4/UPF1/SUGP2/SUGP1,4,BP,acute lymphoblastic leukemia
GO:0097009,energy homeostasis,2/30,90/18860,0.0222222222222222,13.9703703703704,4.92307320411613,0.00898158912668316,0.282157684027447,0.247736979203209,GDF15/CRTC1,2,BP,acute lymphoblastic leukemia
GO:0001657,ureteric bud development,2/30,98/18860,0.0204081632653061,12.8299319727891,4.68652045486037,0.0105755947255277,0.282157684027447,0.247736979203209,CRLF1/TMEM59L,2,BP,acute lymphoblastic leukemia
GO:0071044,histone mRNA catabolic process,1/30,11/18860,0.0909090909090909,57.1515151515152,7.43547062832804,0.0173634156607062,0.282157684027447,0.247736979203209,UPF1,1,BP,acute lymphoblastic leukemia
GO:0071349,cellular response to interleukin-12,1/30,11/18860,0.0909090909090909,57.1515151515152,7.43547062832804,0.0173634156607062,0.282157684027447,0.247736979203209,IL12RB1,1,BP,acute lymphoblastic leukemia
GO:1990709,presynaptic active zone organization,1/30,11/18860,0.0909090909090909,57.1515151515152,7.43547062832804,0.0173634156607062,0.282157684027447,0.247736979203209,RAB3A,1,BP,acute lymphoblastic leukemia
GO:2000672,negative regulation of motor neuron apoptotic process,1/30,11/18860,0.0909090909090909,57.1515151515152,7.43547062832804,0.0173634156607062,0.282157684027447,0.247736979203209,CRLF1,1,BP,acute lymphoblastic leukemia
GO:0015866,ADP transport,1/30,12/18860,0.0833333333333333,52.3888888888889,7.10758417464402,0.0189273764825094,0.282157684027447,0.247736979203209,SLC25A42,1,BP,acute lymphoblastic leukemia
GO:0060398,regulation of growth hormone receptor signaling pathway,1/30,12/18860,0.0833333333333333,52.3888888888889,7.10758417464402,0.0189273764825094,0.282157684027447,0.247736979203209,GDF15,1,BP,acute lymphoblastic leukemia
GO:0070671,response to interleukin-12,1/30,12/18860,0.0833333333333333,52.3888888888889,7.10758417464402,0.0189273764825094,0.282157684027447,0.247736979203209,IL12RB1,1,BP,acute lymphoblastic leukemia
