ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology,group_label
GO:0019372,lipoxygenase pathway,3/40,11/18860,0.272727272727273,128.590909090909,19.514230635864,1.44118763219234e-06,0.00131436312055941,0.00109985371930468,ALOX15B/ALOX12B/ALOXE3,3,BP,adrenal cortex cancer
GO:0042759,long-chain fatty acid biosynthetic process,3/40,40/18860,0.075,35.3625,10.0296194564643,8.26930048879497e-05,0.0251386734859367,0.021035939839917,ALOX15B/ALOX12B/ALOXE3,3,BP,adrenal cortex cancer
GO:0021670,lateral ventricle development,2/40,13/18860,0.153846153846154,72.5384615384616,11.8951431678536,0.00033708626329887,0.0614845344257139,0.0514500086087749,ATP1B2/MYH10,2,BP,adrenal cortex cancer
GO:1901379,regulation of potassium ion transmembrane transport,3/40,74/18860,0.0405405405405405,19.1148648648649,7.19802442201561,0.000516141215796313,0.0727128137336352,0.0608457871155189,ATP1B2/KCNAB3/VAMP2,3,BP,adrenal cortex cancer
GO:0002028,regulation of sodium ion transport,3/40,76/18860,0.0394736842105263,18.6118421052632,7.09246262649545,0.000558102736990621,0.0727128137336352,0.0608457871155189,ATP1B2/PER1/RANGRF,3,BP,adrenal cortex cancer
GO:0000281,mitotic cytokinesis,3/40,98/18860,0.0306122448979592,14.4336734693878,6.14678150923976,0.0011691600288933,0.106627394635069,0.0892253706260673,CNTROB/AURKB/MYH10,3,BP,adrenal cortex cancer
GO:0006929,substrate-dependent cell migration,2/40,29/18860,0.0689655172413793,32.5172413793103,7.830509512397,0.0017173302473892,0.120549703345905,0.100875501991899,MYH10/STON1,2,BP,adrenal cortex cancer
GO:0035357,peroxisome proliferator activated receptor signaling pathway,2/40,30/18860,0.0666666666666667,31.4333333333333,7.6906758435396,0.0018375335246434,0.120549703345905,0.100875501991899,ALOX15B/ALOXE3,2,BP,adrenal cortex cancer
GO:0034440,lipid oxidation,3/40,115/18860,0.0260869565217391,12.3,5.60356169234425,0.00185130784683459,0.120549703345905,0.100875501991899,ALOX15B/ALOX12B/ALOXE3,3,BP,adrenal cortex cancer
GO:0006690,icosanoid metabolic process,3/40,128/18860,0.0234375,11.05078125,5.26007876700743,0.00251145215303968,0.120549703345905,0.100875501991899,ALOX15B/ALOX12B/ALOXE3,3,BP,adrenal cortex cancer
