ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology,group_label
GO:0009615,response to virus,6/36,445/18860,0.0134831460674157,7.06367041198502,5.66088529315153,0.000178220246130812,0.0458112072253614,0.0391806377585328,ACTA2/IFIT2/IFIT3/IFIT1B/IFIT1/IFIT5,6,BP,aortic aneurysm and dissection
GO:0035581,sequestering of extracellular ligand from receptor,2/36,11/18860,0.181818181818182,95.2525252525252,13.6741331273226,0.000192740988475255,0.0458112072253614,0.0391806377585328,FBN1/FBN2,2,BP,aortic aneurysm and dissection
GO:0140374,antiviral innate immune response,3/36,79/18860,0.0379746835443038,19.8945147679325,7.35943639319634,0.000457172567080906,0.0512033275130615,0.0437923195835394,IFIT2/IFIT3/IFIT1,3,BP,aortic aneurysm and dissection
GO:0140354,lipid import into cell,2/36,22/18860,0.0909090909090909,47.6262626262626,9.56927803635446,0.000798889629266867,0.0766934044096192,0.0655930432450691,LIPA/SLC27A6,2,BP,aortic aneurysm and dissection
GO:0019318,hexose metabolic process,4/36,249/18860,0.0160642570281124,8.41588576528336,5.15148540615407,0.00125345291043613,0.105290044476635,0.0900506959339641,LIPA/GALK2/FBN1/FBN2,4,BP,aortic aneurysm and dissection
GO:0048048,embryonic eye morphogenesis,2/36,37/18860,0.0540540540540541,28.3183183183183,7.27386146957111,0.00226223552692006,0.152022227409028,0.130019010284037,FBN1/FBN2,2,BP,aortic aneurysm and dissection
GO:0048873,homeostasis of number of cells within a tissue,2/36,43/18860,0.0465116279069768,24.3669250645995,6.70834245284428,0.00304530335342995,0.18604035031863,0.159113457509354,LIPA/MINAR2,2,BP,aortic aneurysm and dissection
GO:0045071,negative regulation of viral genome replication,2/36,50/18860,0.04,20.9555555555556,6.1788698982007,0.00409676149837271,0.226734280805592,0.193917477004782,IFIT1/IFIT5,2,BP,aortic aneurysm and dissection
GO:0016042,lipid catabolic process,4/36,352/18860,0.0113636363636364,5.95328282828283,4.10241259092986,0.00438622864653674,0.226734280805592,0.193917477004782,LIPJ/LIPK/LIPN/LIPA,4,BP,aortic aneurysm and dissection
GO:0070231,T cell apoptotic process,2/36,61/18860,0.0327868852459016,17.1766848816029,5.53403233965355,0.00604010325781352,0.243449602941261,0.208213476199763,FAS/LIPA,2,BP,aortic aneurysm and dissection
GO:0034198,cellular response to amino acid starvation,2/36,64/18860,0.03125,16.3715277777778,5.38677612495573,0.00663021208439089,0.243449602941261,0.208213476199763,STAMBPL1/FAS,2,BP,aortic aneurysm and dissection
GO:1903409,reactive oxygen species biosynthetic process,2/36,65/18860,0.0307692307692308,16.1196581196581,5.33988750671168,0.00683253010463699,0.243449602941261,0.208213476199763,FAS/LIPA,2,BP,aortic aneurysm and dissection
GO:0045185,maintenance of protein location,2/36,67/18860,0.0298507462686567,15.6384742951907,5.24915965848285,0.00724552389706135,0.243449602941261,0.208213476199763,FBN1/FBN2,2,BP,aortic aneurysm and dissection
GO:1990928,response to amino acid starvation,2/36,67/18860,0.0298507462686567,15.6384742951907,5.24915965848285,0.00724552389706135,0.243449602941261,0.208213476199763,STAMBPL1/FAS,2,BP,aortic aneurysm and dissection
GO:0031424,keratinization,2/36,82/18860,0.024390243902439,12.7777777777778,4.67412409243373,0.0106900273963651,0.257077682600638,0.219869070645282,LIPK/LIPN,2,BP,aortic aneurysm and dissection
GO:0097009,energy homeostasis,2/36,90/18860,0.0222222222222222,11.641975308642,4.42553713107417,0.0127694861084832,0.257077682600638,0.219869070645282,LIPA/MEX3C,2,BP,aortic aneurysm and dissection
GO:0002536,respiratory burst involved in inflammatory response,1/36,10/18860,0.1,52.3888888888889,7.10833969704466,0.0189293684348133,0.257077682600638,0.219869070645282,LIPA,1,BP,aortic aneurysm and dissection
GO:0006924,activation-induced cell death of T cells,1/36,10/18860,0.1,52.3888888888889,7.10833969704466,0.0189293684348133,0.257077682600638,0.219869070645282,FAS,1,BP,aortic aneurysm and dissection
GO:0060346,bone trabecula formation,1/36,10/18860,0.1,52.3888888888889,7.10833969704466,0.0189293684348133,0.257077682600638,0.219869070645282,FBN2,1,BP,aortic aneurysm and dissection
GO:0071838,cell proliferation in bone marrow,1/36,10/18860,0.1,52.3888888888889,7.10833969704466,0.0189293684348133,0.257077682600638,0.219869070645282,LIPA,1,BP,aortic aneurysm and dissection
GO:0061448,connective tissue development,3/36,307/18860,0.00977198697068404,5.11943539630836,3.18239757877652,0.0205211198175648,0.257077682600638,0.219869070645282,ACTA2/LIPA/MEX3C,3,BP,aortic aneurysm and dissection
GO:0000338,protein deneddylation,1/36,11/18860,0.0909090909090909,47.6262626262626,6.76452668692757,0.020803031179447,0.257077682600638,0.219869070645282,COPS2,1,BP,aortic aneurysm and dissection
GO:0034115,negative regulation of heterotypic cell-cell adhesion,1/36,11/18860,0.0909090909090909,47.6262626262626,6.76452668692757,0.020803031179447,0.257077682600638,0.219869070645282,MAP2K5,1,BP,aortic aneurysm and dissection
GO:2001204,regulation of osteoclast development,1/36,11/18860,0.0909090909090909,47.6262626262626,6.76452668692757,0.020803031179447,0.257077682600638,0.219869070645282,FBN1,1,BP,aortic aneurysm and dissection
GO:0019079,viral genome replication,2/36,117/18860,0.0170940170940171,8.95536562203229,3.77474958544722,0.0209529043009744,0.257077682600638,0.219869070645282,IFIT1/IFIT5,2,BP,aortic aneurysm and dissection
GO:0001776,leukocyte homeostasis,2/36,118/18860,0.0169491525423729,8.87947269303202,3.75478276060271,0.0212888787665735,0.257077682600638,0.219869070645282,FAS/LIPA,2,BP,aortic aneurysm and dissection
GO:0007040,lysosome organization,2/36,120/18860,0.0166666666666667,8.73148148148148,3.7155505418693,0.0219675889912425,0.257077682600638,0.219869070645282,LIPA/CLN6,2,BP,aortic aneurysm and dissection
GO:0071559,response to transforming growth factor beta,3/36,318/18860,0.00943396226415094,4.94234800838575,3.10059365450205,0.0224926561593798,0.257077682600638,0.219869070645282,ACTA2/FBN1/FBN2,3,BP,aortic aneurysm and dissection
