ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology,group_label
GO:0070314,G1 to G0 transition,2/20,20/18860,0.1,94.3,13.6016022667362,0.000200679280718753,0.143084327152471,0.103719501929377,RAB11FIP4/CDK5R1,2,BP,acute lymphoblastic leukemia
GO:0043525,positive regulation of neuron apoptotic process,2/20,69/18860,0.0289855072463768,27.3333333333333,7.13985372659937,0.00240189551548177,0.156733595010046,0.113613634236263,NF1/CDK5R1,2,BP,acute lymphoblastic leukemia
GO:0097009,energy homeostasis,2/20,90/18860,0.0222222222222222,20.9555555555556,6.18282309019636,0.0040461452996546,0.156733595010046,0.113613634236263,GDF15/CRTC1,2,BP,acute lymphoblastic leukemia
GO:0001657,ureteric bud development,2/20,98/18860,0.0204081632653061,19.2448979591837,5.89995622872053,0.00477753058754637,0.156733595010046,0.113613634236263,CRLF1/TMEM59L,2,BP,acute lymphoblastic leukemia
GO:0021700,developmental maturation,3/20,364/18860,0.00824175824175824,7.77197802197802,4.25070731390615,0.00636949338477979,0.156733595010046,0.113613634236263,NF1/CDK5R1/RAB3A,3,BP,acute lymphoblastic leukemia
GO:0043010,camera-type eye development,3/20,379/18860,0.0079155672823219,7.46437994722955,4.14207181813638,0.0071197176885093,0.156733595010046,0.113613634236263,NF1/RAB11FIP4/FKBP8,3,BP,acute lymphoblastic leukemia
GO:0099175,regulation of postsynapse organization,2/20,146/18860,0.0136986301369863,12.9178082191781,4.71002689123844,0.0103210163277298,0.156733595010046,0.113613634236263,NF1/CDK5R1,2,BP,acute lymphoblastic leukemia
GO:0014051,gamma-aminobutyric acid secretion,1/20,10/18860,0.1,94.3,9.61523372271743,0.0105564992265137,0.156733595010046,0.113613634236263,NF1,1,BP,acute lymphoblastic leukemia
GO:0032793,positive regulation of CREB transcription factor activity,1/20,10/18860,0.1,94.3,9.61523372271743,0.0105564992265137,0.156733595010046,0.113613634236263,CRTC1,1,BP,acute lymphoblastic leukemia
GO:0033034,positive regulation of myeloid cell apoptotic process,1/20,10/18860,0.1,94.3,9.61523372271743,0.0105564992265137,0.156733595010046,0.113613634236263,NF1,1,BP,acute lymphoblastic leukemia
GO:0051589,negative regulation of neurotransmitter transport,1/20,10/18860,0.1,94.3,9.61523372271743,0.0105564992265137,0.156733595010046,0.113613634236263,NF1,1,BP,acute lymphoblastic leukemia
GO:0099643,signal release from synapse,2/20,154/18860,0.012987012987013,12.2467532467532,4.56594778936112,0.0114291972282385,0.156733595010046,0.113613634236263,NF1/RAB3A,2,BP,acute lymphoblastic leukemia
GO:0010624,regulation of Schwann cell proliferation,1/20,11/18860,0.0909090909090909,85.7272727272727,9.15818245192568,0.0116063066543902,0.156733595010046,0.113613634236263,NF1,1,BP,acute lymphoblastic leukemia
GO:0030223,neutrophil differentiation,1/20,11/18860,0.0909090909090909,85.7272727272727,9.15818245192568,0.0116063066543902,0.156733595010046,0.113613634236263,EVI2B,1,BP,acute lymphoblastic leukemia
GO:0071044,histone mRNA catabolic process,1/20,11/18860,0.0909090909090909,85.7272727272727,9.15818245192568,0.0116063066543902,0.156733595010046,0.113613634236263,UPF1,1,BP,acute lymphoblastic leukemia
GO:2000672,negative regulation of motor neuron apoptotic process,1/20,11/18860,0.0909090909090909,85.7272727272727,9.15818245192568,0.0116063066543902,0.156733595010046,0.113613634236263,CRLF1,1,BP,acute lymphoblastic leukemia
GO:2001241,positive regulation of extrinsic apoptotic signaling pathway in absence of ligand,1/20,11/18860,0.0909090909090909,85.7272727272727,9.15818245192568,0.0116063066543902,0.156733595010046,0.113613634236263,NF1,1,BP,acute lymphoblastic leukemia
GO:0060398,regulation of growth hormone receptor signaling pathway,1/20,12/18860,0.0833333333333333,78.5833333333333,8.75911645119262,0.0126550558647943,0.156733595010046,0.113613634236263,GDF15,1,BP,acute lymphoblastic leukemia
GO:1990504,dense core granule exocytosis,1/20,12/18860,0.0833333333333333,78.5833333333333,8.75911645119262,0.0126550558647943,0.156733595010046,0.113613634236263,RAB3A,1,BP,acute lymphoblastic leukemia
GO:0032099,negative regulation of appetite,1/20,13/18860,0.0769230769230769,72.5384615384616,8.40667070193116,0.0137027478683338,0.156733595010046,0.113613634236263,GDF15,1,BP,acute lymphoblastic leukemia
GO:0040015,negative regulation of multicellular organism growth,1/20,13/18860,0.0769230769230769,72.5384615384616,8.40667070193116,0.0137027478683338,0.156733595010046,0.113613634236263,GDF15,1,BP,acute lymphoblastic leukemia
GO:0048853,forebrain morphogenesis,1/20,13/18860,0.0769230769230769,72.5384615384616,8.40667070193116,0.0137027478683338,0.156733595010046,0.113613634236263,NF1,1,BP,acute lymphoblastic leukemia
GO:0060081,membrane hyperpolarization,1/20,13/18860,0.0769230769230769,72.5384615384616,8.40667070193116,0.0137027478683338,0.156733595010046,0.113613634236263,CRTC1,1,BP,acute lymphoblastic leukemia
GO:2000035,regulation of stem cell division,1/20,13/18860,0.0769230769230769,72.5384615384616,8.40667070193116,0.0137027478683338,0.156733595010046,0.113613634236263,EVI2B,1,BP,acute lymphoblastic leukemia
GO:0007406,negative regulation of neuroblast proliferation,1/20,14/18860,0.0714285714285714,67.3571428571429,8.09237466249037,0.0147493836747029,0.156733595010046,0.113613634236263,NF1,1,BP,acute lymphoblastic leukemia
GO:0009214,cyclic nucleotide catabolic process,1/20,14/18860,0.0714285714285714,67.3571428571429,8.09237466249037,0.0147493836747029,0.156733595010046,0.113613634236263,PDE4C,1,BP,acute lymphoblastic leukemia
GO:0035264,multicellular organism growth,2/20,178/18860,0.0112359550561798,10.5955056179775,4.19083015483138,0.015052455328177,0.156733595010046,0.113613634236263,GDF15/FKBP8,2,BP,acute lymphoblastic leukemia
GO:0043248,proteasome assembly,1/20,15/18860,0.0666666666666667,62.8666666666667,7.80976839398612,0.0157949642926852,0.156733595010046,0.113613634236263,PSMD11,1,BP,acute lymphoblastic leukemia
GO:0045348,positive regulation of MHC class II biosynthetic process,1/20,15/18860,0.0666666666666667,62.8666666666667,7.80976839398612,0.0157949642926852,0.156733595010046,0.113613634236263,CDK5R1,1,BP,acute lymphoblastic leukemia
GO:0046321,positive regulation of fatty acid oxidation,1/20,15/18860,0.0666666666666667,62.8666666666667,7.80976839398612,0.0157949642926852,0.156733595010046,0.113613634236263,GDF15,1,BP,acute lymphoblastic leukemia
GO:0048820,hair follicle maturation,1/20,15/18860,0.0666666666666667,62.8666666666667,7.80976839398612,0.0157949642926852,0.156733595010046,0.113613634236263,NF1,1,BP,acute lymphoblastic leukemia
GO:0070885,negative regulation of calcineurin-NFAT signaling cascade,1/20,15/18860,0.0666666666666667,62.8666666666667,7.80976839398612,0.0157949642926852,0.156733595010046,0.113613634236263,HOMER3,1,BP,acute lymphoblastic leukemia
GO:2001256,regulation of store-operated calcium entry,1/20,15/18860,0.0666666666666667,62.8666666666667,7.80976839398612,0.0157949642926852,0.156733595010046,0.113613634236263,HOMER3,1,BP,acute lymphoblastic leukemia
GO:0007158,neuron cell-cell adhesion,1/20,16/18860,0.0625,58.9375,7.55382768928583,0.0168394907301564,0.156733595010046,0.113613634236263,CDK5R1,1,BP,acute lymphoblastic leukemia
GO:0007216,G protein-coupled glutamate receptor signaling pathway,1/20,16/18860,0.0625,58.9375,7.55382768928583,0.0168394907301564,0.156733595010046,0.113613634236263,HOMER3,1,BP,acute lymphoblastic leukemia
GO:1901741,positive regulation of myoblast fusion,1/20,16/18860,0.0625,58.9375,7.55382768928583,0.0168394907301564,0.156733595010046,0.113613634236263,GDF15,1,BP,acute lymphoblastic leukemia
GO:0021904,dorsal/ventral neural tube patterning,1/20,17/18860,0.0588235294117647,55.4705882352941,7.32057814216773,0.0178829639940813,0.156733595010046,0.113613634236263,FKBP8,1,BP,acute lymphoblastic leukemia
