group_label,sv_count,top_pairs,top_genes,bg_genes,go_background_mode,go_universe_gene_count,go_bp_terms,go_mf_terms,go_cc_terms,go_total
absence epilepsy,2,0,0,12894,default_universe,,0,0,0,0
acute infectious encephalopathy,3,4,4,12894,default_universe,,0,0,0,0
adrenal cortex cancer,12,18,16,12894,default_universe,,0,0,0,0
adrenocortical adenoma,2,0,0,12894,default_universe,,0,0,0,0
adrenocortical carcinoma hereditary,9,5,5,12894,default_universe,,0,0,0,0
adrenocortical carcinoma pediatric,2,0,0,12894,default_universe,,0,0,0,0
alzheimer disease,1,0,0,12894,default_universe,,0,0,0,0
amyotrophic lateral sclerosis,19,6,2,12894,default_universe,,0,0,0,0
aniridia cerebellar ataxia intellectual disability syndrome,4,3,2,12894,default_universe,,0,0,0,0
ataxia oculomotor apraxia,1,0,0,12894,default_universe,,0,0,0,0
ataxia telangiectasia,43,51,7,12894,default_universe,,0,0,0,0
ataxia telangiectasia like disorder type 1,2,5,5,12894,default_universe,,0,0,0,0
ataxia telangiectasia syndrome,2,5,5,12894,default_universe,,0,0,0,0
ataxia with oculomotor apraxia,1,0,0,12894,default_universe,,0,0,0,0
ataxia with vitamin e deficiency,1,0,0,12894,default_universe,,0,0,0,0
atp1a3 related neurological disorders,2,0,0,12894,default_universe,,0,0,0,0
autism spectrum disorder,32,31,27,12894,default_universe,,28,2,0,30
autonomic neuropathy,5,2,2,12894,default_universe,,0,0,0,0
autosomal dominant nonsyndromic hearing loss,1,0,0,12894,default_universe,,0,0,0,0
axonal neuropathy,4,0,0,12894,default_universe,,0,0,0,0
benign familial infantile seizures,9,11,11,12894,default_universe,,0,0,0,0
brain atrophy,2,6,6,12894,default_universe,,0,0,0,0
brain cancer,4,2,2,12894,default_universe,,0,0,0,0
brain lung thyroid syndrome,2,1,1,12894,default_universe,,0,0,0,0
brain malformation,6,6,6,12894,default_universe,,0,0,0,0
brain malformations,9,6,4,12894,default_universe,,0,0,0,0
brain neoplasm,13,5,5,12894,default_universe,,0,0,0,0
brain tumor,9,10,5,12894,default_universe,,0,0,0,0
brain tumor polyposis syndrome,1,3,3,12894,default_universe,,0,0,0,0
brainstem hypoplasia,1,0,0,12894,default_universe,,0,0,0,0
