ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology,group_label
GO:0090130,tissue migration,2/23,110/18860,0.0181818181818182,14.9090909090909,5.11224703337679,0.00787311066452885,0.215518917085157,0.177701063788955,ACTA2/FGF7,2,BP,aortic aneurysm and dissection
GO:0006924,activation-induced cell death of T cells,1/23,10/18860,0.1,82,8.95254929412783,0.0121312936190364,0.215518917085157,0.177701063788955,FAS,1,BP,aortic aneurysm and dissection
GO:0060346,bone trabecula formation,1/23,10/18860,0.1,82,8.95254929412783,0.0121312936190364,0.215518917085157,0.177701063788955,FBN2,1,BP,aortic aneurysm and dissection
GO:2000234,positive regulation of rRNA processing,1/23,10/18860,0.1,82,8.95254929412783,0.0121312936190364,0.215518917085157,0.177701063788955,WDR75,1,BP,aortic aneurysm and dissection
GO:0000338,protein deneddylation,1/23,11/18860,0.0909090909090909,74.5454545454546,8.52560880293222,0.0133366506613045,0.215518917085157,0.177701063788955,COPS2,1,BP,aortic aneurysm and dissection
GO:0034115,negative regulation of heterotypic cell-cell adhesion,1/23,11/18860,0.0909090909090909,74.5454545454546,8.52560880293222,0.0133366506613045,0.215518917085157,0.177701063788955,MAP2K5,1,BP,aortic aneurysm and dissection
GO:0035581,sequestering of extracellular ligand from receptor,1/23,11/18860,0.0909090909090909,74.5454545454546,8.52560880293222,0.0133366506613045,0.215518917085157,0.177701063788955,FBN2,1,BP,aortic aneurysm and dissection
GO:0042996,regulation of Golgi to plasma membrane protein transport,1/23,12/18860,0.0833333333333333,68.3333333333333,8.15277544542366,0.014540600846184,0.215518917085157,0.177701063788955,LYPLAL1,1,BP,aortic aneurysm and dissection
GO:0048671,negative regulation of collateral sprouting,1/23,12/18860,0.0833333333333333,68.3333333333333,8.15277544542366,0.014540600846184,0.215518917085157,0.177701063788955,DCC,1,BP,aortic aneurysm and dissection
GO:0051549,positive regulation of keratinocyte migration,1/23,12/18860,0.0833333333333333,68.3333333333333,8.15277544542366,0.014540600846184,0.215518917085157,0.177701063788955,FGF7,1,BP,aortic aneurysm and dissection
GO:0060502,epithelial cell proliferation involved in lung morphogenesis,1/23,12/18860,0.0833333333333333,68.3333333333333,8.15277544542366,0.014540600846184,0.215518917085157,0.177701063788955,FGF7,1,BP,aortic aneurysm and dissection
GO:1904238,pericyte cell differentiation,1/23,12/18860,0.0833333333333333,68.3333333333333,8.15277544542366,0.014540600846184,0.215518917085157,0.177701063788955,ACTA2,1,BP,aortic aneurysm and dissection
GO:0003183,mitral valve morphogenesis,1/23,13/18860,0.0769230769230769,63.0769230769231,7.82344660166955,0.0157431457411621,0.215518917085157,0.177701063788955,ADAMTS19,1,BP,aortic aneurysm and dissection
GO:0006012,galactose metabolic process,1/23,13/18860,0.0769230769230769,63.0769230769231,7.82344660166955,0.0157431457411621,0.215518917085157,0.177701063788955,GALK2,1,BP,aortic aneurysm and dissection
GO:0036295,cellular response to increased oxygen levels,1/23,13/18860,0.0769230769230769,63.0769230769231,7.82344660166955,0.0157431457411621,0.215518917085157,0.177701063788955,FAS,1,BP,aortic aneurysm and dissection
GO:0061430,bone trabecula morphogenesis,1/23,13/18860,0.0769230769230769,63.0769230769231,7.82344660166955,0.0157431457411621,0.215518917085157,0.177701063788955,FBN2,1,BP,aortic aneurysm and dissection
GO:0009615,response to virus,3/23,445/18860,0.00674157303370787,5.52808988764045,3.37774268998201,0.0162741706990336,0.215518917085157,0.177701063788955,ACTA2/IFIT2/IFIT1B,3,BP,aortic aneurysm and dissection
GO:0098734,macromolecule depalmitoylation,1/23,14/18860,0.0714285714285714,58.5714285714286,7.52971970724307,0.0169442869120618,0.215518917085157,0.177701063788955,LYPLAL1,1,BP,aortic aneurysm and dissection
GO:1903251,multi-ciliated epithelial cell differentiation,1/23,14/18860,0.0714285714285714,58.5714285714286,7.52971970724307,0.0169442869120618,0.215518917085157,0.177701063788955,CEP152,1,BP,aortic aneurysm and dissection
GO:0001833,inner cell mass cell proliferation,1/23,15/18860,0.0666666666666667,54.6666666666667,7.26556779155716,0.0181440259230472,0.215518917085157,0.177701063788955,COPS2,1,BP,aortic aneurysm and dissection
GO:0090206,negative regulation of cholesterol metabolic process,1/23,15/18860,0.0666666666666667,54.6666666666667,7.26556779155716,0.0181440259230472,0.215518917085157,0.177701063788955,CH25H,1,BP,aortic aneurysm and dissection
GO:2000288,positive regulation of myoblast proliferation,1/23,15/18860,0.0666666666666667,54.6666666666667,7.26556779155716,0.0181440259230472,0.215518917085157,0.177701063788955,FGF7,1,BP,aortic aneurysm and dissection
GO:0010763,positive regulation of fibroblast migration,1/23,16/18860,0.0625,51.25,7.02630323911402,0.019342364336619,0.215518917085157,0.177701063788955,ACTA2,1,BP,aortic aneurysm and dissection
GO:0072537,fibroblast activation,1/23,16/18860,0.0625,51.25,7.02630323911402,0.019342364336619,0.215518917085157,0.177701063788955,ACTA2,1,BP,aortic aneurysm and dissection
GO:0010838,positive regulation of keratinocyte proliferation,1/23,17/18860,0.0588235294117647,48.2352941176471,6.80821778742744,0.0205393037136231,0.215518917085157,0.177701063788955,FGF7,1,BP,aortic aneurysm and dissection
GO:0072109,glomerular mesangium development,1/23,17/18860,0.0588235294117647,48.2352941176471,6.80821778742744,0.0205393037136231,0.215518917085157,0.177701063788955,ACTA2,1,BP,aortic aneurysm and dissection
