ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology,group_label
GO:0097178,ruffle assembly,2/21,42/18860,0.0476190476190476,42.7664399092971,9.04701741026429,0.000989760063967815,0.150855482754173,0.114382199917226,NDEL1/STON1,2,BP,adrenal cortex cancer
GO:0031529,ruffle organization,2/21,55/18860,0.0363636363636364,32.6580086580087,7.84997590959637,0.00169226178598026,0.150855482754173,0.114382199917226,NDEL1/STON1,2,BP,adrenal cortex cancer
GO:0002028,regulation of sodium ion transport,2/21,76/18860,0.0263157894736842,23.6340852130326,6.60109157313153,0.00320239848615124,0.150855482754173,0.114382199917226,PER1/RANGRF,2,BP,adrenal cortex cancer
GO:0048488,synaptic vesicle endocytosis,2/21,76/18860,0.0263157894736842,23.6340852130326,6.60109157313153,0.00320239848615124,0.150855482754173,0.114382199917226,VAMP2/STON1,2,BP,adrenal cortex cancer
GO:0072659,protein localization to plasma membrane,3/21,295/18860,0.0101694915254237,9.13317191283293,4.70071085277458,0.00408884905745848,0.150855482754173,0.114382199917226,TMEM88/VAMP2/RANGRF,3,BP,adrenal cortex cancer
GO:0048511,rhythmic process,3/21,302/18860,0.00993377483443709,8.92147587511826,4.63323197393574,0.0043660268058503,0.150855482754173,0.114382199917226,HES7/PER1/LHCGR,3,BP,adrenal cortex cancer
GO:0034644,cellular response to UV,2/21,92/18860,0.0217391304347826,19.5238095238095,5.94641585062113,0.00465348187280529,0.150855482754173,0.114382199917226,AURKB/RPL26,2,BP,adrenal cortex cancer
GO:0050000,chromosome localization,2/21,124/18860,0.0161290322580645,14.4854070660522,5.03009883808165,0.00829817550566547,0.150855482754173,0.114382199917226,AURKB/NDEL1,2,BP,adrenal cortex cancer
GO:0060052,neurofilament cytoskeleton organization,1/21,10/18860,0.1,89.8095238095238,9.37872752451697,0.0110816815517655,0.150855482754173,0.114382199917226,NDEL1,1,BP,adrenal cortex cancer
GO:1902423,regulation of attachment of mitotic spindle microtubules to kinetochore,1/21,10/18860,0.1,89.8095238095238,9.37872752451697,0.0110816815517655,0.150855482754173,0.114382199917226,AURKB,1,BP,adrenal cortex cancer
GO:0007059,chromosome segregation,3/21,434/18860,0.00691244239631337,6.20803159973667,3.6647385494647,0.0118281611051593,0.150855482754173,0.114382199917226,AURKB/RANGRF/NDEL1,3,BP,adrenal cortex cancer
GO:0045136,development of secondary sexual characteristics,1/21,11/18860,0.0909090909090909,81.6450216450217,8.93243372780729,0.0121833942672782,0.150855482754173,0.114382199917226,LHCGR,1,BP,adrenal cortex cancer
GO:0051256,mitotic spindle midzone assembly,1/21,11/18860,0.0909090909090909,81.6450216450217,8.93243372780729,0.0121833942672782,0.150855482754173,0.114382199917226,AURKB,1,BP,adrenal cortex cancer
GO:0051987,positive regulation of attachment of spindle microtubules to kinetochore,1/21,11/18860,0.0909090909090909,81.6450216450217,8.93243372780729,0.0121833942672782,0.150855482754173,0.114382199917226,AURKB,1,BP,adrenal cortex cancer
GO:0060732,positive regulation of inositol phosphate biosynthetic process,1/21,11/18860,0.0909090909090909,81.6450216450217,8.93243372780729,0.0121833942672782,0.150855482754173,0.114382199917226,LHCGR,1,BP,adrenal cortex cancer
GO:0090267,positive regulation of mitotic cell cycle spindle assembly checkpoint,1/21,11/18860,0.0909090909090909,81.6450216450217,8.93243372780729,0.0121833942672782,0.150855482754173,0.114382199917226,AURKB,1,BP,adrenal cortex cancer
GO:0033157,regulation of intracellular protein transport,2/21,152/18860,0.0131578947368421,11.8170426065163,4.47050626912237,0.0122562200517559,0.150855482754173,0.114382199917226,VAMP2/NDEL1,2,BP,adrenal cortex cancer
GO:0000280,nuclear division,3/21,453/18860,0.00662251655629139,5.94765058341217,3.55874336452058,0.0132733865903482,0.150855482754173,0.114382199917226,AURKB/RANGRF/NDEL1,3,BP,adrenal cortex cancer
GO:0002357,defense response to tumor cell,1/21,12/18860,0.0833333333333333,74.8412698412698,8.54274017527906,0.0132839379948176,0.150855482754173,0.114382199917226,DLEC1,1,BP,adrenal cortex cancer
GO:0032957,inositol trisphosphate metabolic process,1/21,12/18860,0.0833333333333333,74.8412698412698,8.54274017527906,0.0132839379948176,0.150855482754173,0.114382199917226,LHCGR,1,BP,adrenal cortex cancer
GO:0090232,positive regulation of spindle checkpoint,1/21,12/18860,0.0833333333333333,74.8412698412698,8.54274017527906,0.0132839379948176,0.150855482754173,0.114382199917226,AURKB,1,BP,adrenal cortex cancer
GO:0009411,response to UV,2/21,159/18860,0.0125786163522013,11.2967954477388,4.35319665621987,0.0133524813424145,0.150855482754173,0.114382199917226,AURKB/RPL26,2,BP,adrenal cortex cancer
GO:0043434,response to peptide hormone,3/21,461/18860,0.00650759219088937,5.8444375581035,3.51590207052845,0.0139111024958187,0.150855482754173,0.114382199917226,VAMP2/NDEL1/LHCGR,3,BP,adrenal cortex cancer
GO:0006167,AMP biosynthetic process,1/21,13/18860,0.0769230769230769,69.0842490842491,8.19855411005941,0.0143833139127989,0.150855482754173,0.114382199917226,PFAS,1,BP,adrenal cortex cancer
GO:0042921,nuclear receptor-mediated glucocorticoid signaling pathway,1/21,13/18860,0.0769230769230769,69.0842490842491,8.19855411005941,0.0143833139127989,0.150855482754173,0.114382199917226,PER1,1,BP,adrenal cortex cancer
GO:0120181,focal adhesion disassembly,1/21,13/18860,0.0769230769230769,69.0842490842491,8.19855411005941,0.0143833139127989,0.150855482754173,0.114382199917226,STON1,1,BP,adrenal cortex cancer
GO:1903490,positive regulation of mitotic cytokinesis,1/21,13/18860,0.0769230769230769,69.0842490842491,8.19855411005941,0.0143833139127989,0.150855482754173,0.114382199917226,AURKB,1,BP,adrenal cortex cancer
GO:1904181,positive regulation of membrane depolarization,1/21,13/18860,0.0769230769230769,69.0842490842491,8.19855411005941,0.0143833139127989,0.150855482754173,0.114382199917226,RANGRF,1,BP,adrenal cortex cancer
GO:0007100,mitotic centrosome separation,1/21,14/18860,0.0714285714285714,64.1496598639456,7.8916078240676,0.0154815231985118,0.150855482754173,0.114382199917226,NDEL1,1,BP,adrenal cortex cancer
GO:1901016,regulation of potassium ion transmembrane transporter activity,1/21,14/18860,0.0714285714285714,64.1496598639456,7.8916078240676,0.0154815231985118,0.150855482754173,0.114382199917226,VAMP2,1,BP,adrenal cortex cancer
