ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology,group_label
GO:0001667,ameboidal-type cell migration,4/20,256/18860,0.015625,14.734375,7.20874390438312,0.000135375108973199,0.0999068304222207,0.0725325583866929,ACTA2/FGF7/SMAD3/FBN2,4,BP,aortic aneurysm and dissection
GO:0061450,trophoblast cell migration,2/20,25/18860,0.08,75.44,12.1346550545981,0.000315855958211339,0.116550848579984,0.0846161488050376,SMAD3/FBN2,2,BP,aortic aneurysm and dissection
GO:0030501,positive regulation of bone mineralization,2/20,44/18860,0.0454545454545455,42.8636363636364,9.05802498508655,0.000984041158688418,0.150650027049202,0.109372220465046,SMAD3/FBN2,2,BP,aortic aneurysm and dissection
GO:0045778,positive regulation of ossification,2/20,56/18860,0.0357142857142857,33.6785714285714,7.97931911082918,0.0015897611228069,0.150650027049202,0.109372220465046,SMAD3/FBN2,2,BP,aortic aneurysm and dissection
GO:0097191,extrinsic apoptotic signaling pathway,3/20,239/18860,0.0125523012552301,11.836820083682,5.49329841969486,0.0019533434107782,0.150650027049202,0.109372220465046,FAS/SMAD3/MAP2K5,3,BP,aortic aneurysm and dissection
GO:0045444,fat cell differentiation,3/20,259/18860,0.0115830115830116,10.9227799227799,5.23900694028047,0.00245493092128633,0.150650027049202,0.109372220465046,SMAD3/PIAS1/MEX3C,3,BP,aortic aneurysm and dissection
GO:0050918,positive chemotaxis,2/20,72/18860,0.0277777777777778,26.1944444444445,6.97854105181031,0.00261192022192681,0.150650027049202,0.109372220465046,FGF7/SMAD3,2,BP,aortic aneurysm and dissection
GO:0061448,connective tissue development,3/20,307/18860,0.00977198697068404,9.21498371335505,4.72827471226038,0.00396519328481144,0.150650027049202,0.109372220465046,ACTA2/SMAD3/MEX3C,3,BP,aortic aneurysm and dissection
GO:0071559,response to transforming growth factor beta,3/20,318/18860,0.00943396226415094,8.89622641509434,4.62688540324775,0.00437574183470937,0.150650027049202,0.109372220465046,ACTA2/SMAD3/FBN2,3,BP,aortic aneurysm and dissection
GO:0090130,tissue migration,2/20,110/18860,0.0181818181818182,17.1454545454545,5.53324450872028,0.00598027704204152,0.150650027049202,0.109372220465046,ACTA2/FGF7,2,BP,aortic aneurysm and dissection
GO:0008637,apoptotic mitochondrial changes,2/20,116/18860,0.0172413793103448,16.2586206896552,5.37089933747631,0.00662837096967308,0.150650027049202,0.109372220465046,IFIT2/SMAD3,2,BP,aortic aneurysm and dissection
GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,3/20,411/18860,0.0072992700729927,6.88321167883212,3.92900742027482,0.00889117042789573,0.150650027049202,0.109372220465046,SMAD3/SKOR1/FBN2,3,BP,aortic aneurysm and dissection
GO:0006924,activation-induced cell death of T cells,1/20,10/18860,0.1,94.3,9.61523372271743,0.0105564992265137,0.150650027049202,0.109372220465046,FAS,1,BP,aortic aneurysm and dissection
GO:0048617,embryonic foregut morphogenesis,1/20,10/18860,0.1,94.3,9.61523372271743,0.0105564992265137,0.150650027049202,0.109372220465046,SMAD3,1,BP,aortic aneurysm and dissection
GO:0060346,bone trabecula formation,1/20,10/18860,0.1,94.3,9.61523372271743,0.0105564992265137,0.150650027049202,0.109372220465046,FBN2,1,BP,aortic aneurysm and dissection
GO:0045598,regulation of fat cell differentiation,2/20,148/18860,0.0135135135135135,12.7432432432432,4.67296672864342,0.0105932952750454,0.150650027049202,0.109372220465046,SMAD3/MEX3C,2,BP,aortic aneurysm and dissection
GO:0009615,response to virus,3/20,445/18860,0.00674157303370787,6.35730337078652,3.72626950928157,0.0110355149061826,0.150650027049202,0.109372220465046,ACTA2/IFIT2/SMAD3,3,BP,aortic aneurysm and dissection
GO:0000338,protein deneddylation,1/20,11/18860,0.0909090909090909,85.7272727272727,9.15818245192568,0.0116063066543902,0.150650027049202,0.109372220465046,COPS2,1,BP,aortic aneurysm and dissection
