group_label,sv_count,top_pairs,top_genes,bg_genes,go_background_mode,go_universe_gene_count,go_bp_terms,go_mf_terms,go_cc_terms,go_total
acute lymphoblastic leukemia,4,8,8,12894,default_universe,,0,0,0,0
acute lymphoid leukemia,8,42,9,12894,default_universe,,0,0,0,0
acute myeloid leukemia,25,48,30,12894,default_universe,,0,0,0,0
acute promyelocytic leukemia,1,0,0,12894,default_universe,,0,0,0,0
aneurysm osteoarthritis syndrome,6,6,6,12894,default_universe,,0,0,0,0
arthritis,1,0,0,12894,default_universe,,0,0,0,0
autoimmune disease,1,0,0,12894,default_universe,,0,0,0,0
autoimmune hemolytic anemia,1,7,7,12894,default_universe,,0,0,0,0
autoimmune lymphoproliferative syndrome,3,4,4,12894,default_universe,,0,0,0,0
autoimmune thrombocytopenia,1,7,7,12894,default_universe,,0,0,0,0
autoinflammatory and immunodeficiency disorders,1,7,7,12894,default_universe,,0,0,0,0
autoinflammatory disease,12,47,31,12894,default_universe,,1,3,5,9
autoinflammatory syndrome,1,0,0,12894,default_universe,,0,0,0,0
b cell lymphoblastic leukemia lymphoma,6,8,3,12894,default_universe,,0,0,0,0
bone marrow failure syndrome,14,26,19,12894,default_universe,,0,0,0,0
chronic lymphocytic leukemia,8,26,19,12894,default_universe,,0,0,0,0
combined immunodeficiency,11,3,3,12894,default_universe,,0,0,0,0
common variable immunodeficiency,5,1,1,12894,default_universe,,0,0,0,0
deafness lymphedema leukemia syndrome,7,9,7,12894,default_universe,,0,0,0,0
ectodermal dysplasia and immunodeficiency,1,0,0,12894,default_universe,,0,0,0,0
fanconi anemia,143,242,61,12894,default_universe,,0,0,0,0
fanconi anemia complementation group d1,47,24,7,12894,default_universe,,0,0,0,0
fanconi anemia complementation group e,1,2,2,12894,default_universe,,0,0,0,0
fanconi anemia complementation group j,19,2,1,12894,default_universe,,0,0,0,0
fanconi anemia complementation group l,1,0,0,12894,default_universe,,0,0,0,0
fanconi anemia complementation group o,23,9,3,12894,default_universe,,0,0,0,0
fanconi anemia complementation group p,5,3,3,12894,default_universe,,0,0,0,0
fanconi anemia complementation group q,3,0,0,12894,default_universe,,0,0,0,0
growth hormone insensitivity syndrome with immune dysregulation,1,0,0,12894,default_universe,,0,0,0,0
hodgkin lymphoma,4,16,9,12894,default_universe,,0,0,0,0
immune thrombocytopenia,1,7,7,12894,default_universe,,0,0,0,0
immunodeficiency,23,28,27,12894,default_universe,,0,2,1,3
immunodeficiency disorder,1,0,0,12894,default_universe,,0,0,0,0
immunodeficiency syndrome,2,2,2,12894,default_universe,,0,0,0,0
immunoglobulin a deficiency,1,0,0,12894,default_universe,,0,0,0,0
increased risk to develop myelodysplastic syndrome acute myeloid leukemia or chronic myelomonocytic leukemia,1,0,0,12894,default_universe,,0,0,0,0
inflammatory bowel disease,3,5,5,12894,default_universe,,0,0,0,0
leukemia,3,0,0,12894,default_universe,,0,0,0,0
lupus erythematosus,5,0,0,12894,default_universe,,0,0,0,0
lymphoid neoplasm,1,0,0,12894,default_universe,,0,0,0,0
lymphoma,6,28,21,12894,default_universe,,0,0,0,0
microcephaly and immunodeficiency syndrome,9,42,9,12894,default_universe,,0,0,0,0
multisystem inflammatory syndrome in children,1,0,0,12894,default_universe,,0,0,0,0
myelofibrosis with myeloid metaplasia,1,0,0,12894,default_universe,,0,0,0,0
myeloid leukemia,44,26,9,12894,default_universe,,0,0,0,0
primary immunodeficiency,22,20,20,12894,default_universe,,0,0,0,0
primary immunodeficiency disease,7,9,7,12894,default_universe,,0,0,0,0
primary immunodeficiency with endocrine features,1,0,0,12894,default_universe,,0,0,0,0
schimke immuno osseous dysplasia,5,2,1,12894,default_universe,,0,0,0,0
severe combined immunodeficiency,19,18,10,12894,default_universe,,0,0,0,0
systemic autoimmune disease,3,18,13,12894,default_universe,,0,0,0,0
systemic lupus erythematosus,1,0,0,12894,default_universe,,0,0,0,0
t cell prolymphocytic leukemia,1,0,0,12894,default_universe,,0,0,0,0
