group_label,sv_count,top_pairs,top_genes,bg_genes,go_background_mode,go_universe_gene_count,go_bp_terms,go_mf_terms,go_cc_terms,go_total
acute lymphoblastic leukemia,4,30,29,12894,default_universe,,0,0,0,0
acute lymphoid leukemia,8,13,3,12894,default_universe,,0,0,0,0
acute myeloid leukemia,25,110,77,12894,default_universe,,1,1,4,6
acute promyelocytic leukemia,1,0,0,12894,default_universe,,0,0,0,0
aneurysm osteoarthritis syndrome,6,7,7,12894,default_universe,,0,0,0,0
arthritis,1,0,0,12894,default_universe,,0,0,0,0
autoimmune disease,1,0,0,12894,default_universe,,0,0,0,0
autoimmune hemolytic anemia,1,0,0,12894,default_universe,,0,0,0,0
autoimmune lymphoproliferative syndrome,3,0,0,12894,default_universe,,0,0,0,0
autoimmune thrombocytopenia,1,0,0,12894,default_universe,,0,0,0,0
autoinflammatory and immunodeficiency disorders,1,0,0,12894,default_universe,,0,0,0,0
autoinflammatory disease,12,68,30,12894,default_universe,,0,1,1,2
autoinflammatory syndrome,1,0,0,12894,default_universe,,0,0,0,0
b cell lymphoblastic leukemia lymphoma,6,15,6,12894,default_universe,,0,0,0,0
bone marrow failure syndrome,14,64,30,12894,default_universe,,12,3,1,16
chronic lymphocytic leukemia,8,54,34,12894,default_universe,,7,2,1,10
combined immunodeficiency,11,0,0,12894,default_universe,,0,0,0,0
common variable immunodeficiency,5,1,1,12894,default_universe,,0,0,0,0
deafness lymphedema leukemia syndrome,7,15,9,12894,default_universe,,0,0,0,0
ectodermal dysplasia and immunodeficiency,1,0,0,12894,default_universe,,0,0,0,0
fanconi anemia,143,238,70,12894,default_universe,,0,0,1,1
fanconi anemia complementation group d1,47,32,6,12894,default_universe,,0,0,0,0
fanconi anemia complementation group e,1,0,0,12894,default_universe,,0,0,0,0
fanconi anemia complementation group j,19,2,1,12894,default_universe,,0,0,0,0
fanconi anemia complementation group l,1,0,0,12894,default_universe,,0,0,0,0
fanconi anemia complementation group o,23,7,3,12894,default_universe,,0,0,0,0
fanconi anemia complementation group p,5,3,3,12894,default_universe,,0,0,0,0
fanconi anemia complementation group q,3,1,1,12894,default_universe,,0,0,0,0
growth hormone insensitivity syndrome with immune dysregulation,1,0,0,12894,default_universe,,0,0,0,0
hodgkin lymphoma,4,54,23,12894,default_universe,,11,3,1,15
immune thrombocytopenia,1,0,0,12894,default_universe,,0,0,0,0
immunodeficiency,23,45,43,12894,default_universe,,0,7,0,7
immunodeficiency disorder,1,0,0,12894,default_universe,,0,0,0,0
immunodeficiency syndrome,2,4,4,12894,default_universe,,0,0,0,0
immunoglobulin a deficiency,1,0,0,12894,default_universe,,0,0,0,0
increased risk to develop myelodysplastic syndrome acute myeloid leukemia or chronic myelomonocytic leukemia,1,0,0,12894,default_universe,,0,0,0,0
inflammatory bowel disease,3,2,2,12894,default_universe,,0,0,0,0
leukemia,3,0,0,12894,default_universe,,0,0,0,0
lupus erythematosus,5,0,0,12894,default_universe,,0,0,0,0
lymphoid neoplasm,1,0,0,12894,default_universe,,0,0,0,0
lymphoma,6,64,39,12894,default_universe,,4,1,1,6
microcephaly and immunodeficiency syndrome,9,13,3,12894,default_universe,,0,0,0,0
multisystem inflammatory syndrome in children,1,0,0,12894,default_universe,,0,0,0,0
myelofibrosis with myeloid metaplasia,1,0,0,12894,default_universe,,0,0,0,0
myeloid leukemia,44,26,9,12894,default_universe,,0,0,0,0
primary immunodeficiency,22,35,32,12894,default_universe,,0,0,1,1
primary immunodeficiency disease,7,15,9,12894,default_universe,,0,0,0,0
primary immunodeficiency with endocrine features,1,0,0,12894,default_universe,,0,0,0,0
schimke immuno osseous dysplasia,5,2,1,12894,default_universe,,0,0,0,0
severe combined immunodeficiency,19,56,27,12894,default_universe,,0,0,0,0
systemic autoimmune disease,3,48,27,12894,default_universe,,2,1,0,3
systemic lupus erythematosus,1,0,0,12894,default_universe,,0,0,0,0
t cell prolymphocytic leukemia,1,0,0,12894,default_universe,,0,0,0,0
